variant_id	batch_id	category	category_group	topic_id	editorial_role	semantic_group	output_mode	trigger	required_context	tone	interrupt_cost	cooldown_hours	semantic_cooldown_hours	max_per_day	weight	relationship_profile	text	review_status
authored.b080.character_life.bookend_silhouette.0001	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	书立夹住两边的书，书架上就有了很稳的边界。	approved
authored.b080.character_life.bookend_silhouette.0002	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	金属书立在灯下投出一小块影子，书脊会显得更整齐。	approved
authored.b080.character_life.bookend_silhouette.0003	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	把厚书靠在书立上，旁边的薄册也不会歪下来。	approved
authored.b080.character_life.bookend_silhouette.0004	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	书立的折角很简单，却能托住一排纸页。	approved
authored.b080.character_life.bookend_silhouette.0005	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	深色书立贴着浅色书脊，轮廓会特别清楚。	approved
authored.b080.character_life.bookend_silhouette.0006	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	把书立往里推一点，架子前沿就会更利落。	approved
authored.b080.character_life.bookend_silhouette.0007	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	书立不大，放在角落却像给纸页添了一堵小墙。	approved
authored.b080.character_life.bookend_silhouette.0008	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	几本书被扶正以后，抽出来再放回也会更顺手。	approved
authored.b080.character_life.bookend_silhouette.0009	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	书立边缘有一点薄，夹在书与书之间很不占地方。	approved
authored.b080.character_life.bookend_silhouette.0010	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	一只书立守住书堆，桌面会少一点随时要倒的担心。	approved
authored.b080.character_life.bookend_silhouette.0011	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	书脊高度不同，书立旁边会显出很自然的高低线。	approved
authored.b080.character_life.bookend_silhouette.0012	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	把常看的书放在书立边，想拿时就不用翻找。	approved
authored.b080.character_life.bookend_silhouette.0013	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	书立底部贴着木板，轻轻挪动时声音很小。	approved
authored.b080.character_life.bookend_silhouette.0014	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	一排纸页靠住书立，空气流过也不会轻易散开。	approved
authored.b080.character_life.bookend_silhouette.0015	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	书立没有图案，干净的直角看久了也很舒服。	approved
authored.b080.character_life.bookend_silhouette.0016	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	把书立擦干净，金属表面会显得很有精神。	approved
authored.b080.character_life.bookend_silhouette.0017	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	书立的影子落在书架上，下午会多一点层次。	approved
authored.b080.character_life.bookend_silhouette.0018	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	两只书立相对放着，书本之间就有了一个小房间。	approved
authored.b080.character_life.bookend_silhouette.0019	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	书立接住倾斜的书脊，纸页也像被轻轻扶住。	approved
authored.b080.character_life.bookend_silhouette.0020	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	把空位留在书立旁，新的书也有地方慢慢加入。	approved
authored.b080.character_life.bookend_silhouette.0021	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	书立摆正以后，书架上的颜色会显得更有序。	approved
authored.b080.character_life.bookend_silhouette.0022	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	一只小书立不显眼，却把阅读角落照看得很稳。	approved
authored.b080.character_life.bookend_silhouette.0023	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	把书叠高前先放书立，后面整理会省很多力气。	approved
authored.b080.character_life.bookend_silhouette.0024	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	书立靠在最后一本书旁，书架就完成了一次安静收尾。	approved
authored.b080.character_life.bookend_silhouette.0025	b080	ProactiveChat	character_life	character_life.b080.bookend_silhouette	bookend_silhouette	character_life.b080.bookend_silhouette	self_talk	any	none	calm	0	120	144	1	1.0	neutral	纸页被扶成直线时，房间里的视线也会跟着安定。	approved
authored.b080.character_life.fork_tine_reflections.0001	b080	ProactiveChat	character_life	character_life.b080.fork_tine_reflections	fork_tine_reflections	character_life.b080.fork_tine_reflections	self_talk	any	none	curious	0	120	144	1	1.0	neutral	叉子的齿尖在灯下排开，像几条很细的银线。	approved
authored.b080.character_life.fork_tine_reflections.0002	b080	ProactiveChat	character_life	character_life.b080.fork_tine_reflections	fork_tine_reflections	character_life.b080.fork_tine_reflections	self_talk	any	none	curious	0	120	144	1	1.0	neutral	洗干净的叉子平码在餐垫上，反光会显得很清楚。	approved
authored.b080.character_life.fork_tine_reflections.0003	b080	ProactiveChat	character_life	character_life.b080.fork_tine_reflections	fork_tine_reflections	character_life.b080.fork_tine_reflections	self_talk	any	none	curious	0	120	144	1	1.0	neutral	叉齿之间留着空隙，靠近看会觉得排列很认真。	approved
authored.b080.character_life.fork_tine_reflections.0004	b080	ProactiveChat	character_life	character_life.b080.fork_tine_reflections	fork_tine_reflections	character_life.b080.fork_tine_reflections	self_talk	any	none	curious	0	120	144	1	1.0	neutral	把叉子放进抽屉格，拿起来时就不用翻动别的餐具。	approved
authored.b080.character_life.fork_tine_reflections.0005	b080	ProactiveChat	character_life	character_life.b080.fork_tine_reflections	fork_tine_reflections	character_life.b080.fork_tine_reflections	self_talk	any	none	curious	0	120	144	1	1.0	neutral	金属叉柄有一点弧度，握住时会很顺。	approved
authored.b080.character_life.fork_tine_reflections.0006	b080	ProactiveChat	character_life	character_life.b080.fork_tine_reflections	fork_tine_reflections	character_life.b080.fork_tine_reflections	self_talk	any	none	curious	0	120	144	1	1.0	neutral	叉子碰到盘边，短短的声音会替餐桌添一点节奏。	approved
authored.b080.character_life.fork_tine_reflections.0007	b080	ProactiveChat	character_life	character_life.b080.fork_tine_reflections	fork_tine_reflections	character_life.b080.fork_tine_reflections	self_talk	any	none	curious	0	120	144	1	1.0	neutral	叉齿映出窗边的光，细小亮线会轻轻移动。	approved
authored.b080.character_life.fork_tine_reflections.0008	b080	ProactiveChat	character_life	character_life.b080.fork_tine_reflections	fork_tine_reflections	character_life.b080.fork_tine_reflections	self_talk	any	none	curious	0	120	144	1	1.0	neutral	把叉子擦干再收，表面就不会留下水印。	approved
