id	category	text	normalized_text	source_count	extraction_confidence	standalone
suffix_algorithms_0095f0d26427	Algorithms	拆小一点就没那么吓人。	拆小一点就没那么吓人	300	1.000000	false
suffix_algorithms_233e95db2a2a	Algorithms	写个测试把它钉住。	写个测试把它钉住	300	1.000000	false
suffix_algorithms_7a37ca4c64d1	Algorithms	搞定这次顺便把原因记下来。	搞定这次顺便把原因记下来	300	1.000000	false
suffix_algorithms_9c1b7f4faa52	Algorithms	先确认事实再动代码。	先确认事实再动代码	300	1.000000	false
suffix_algorithms_a0c352572c99	Algorithms	修好了记得提交，别又忘。	修好了记得提交别又忘	300	1.000000	false
suffix_algorithms_baf7c55cbc27	Algorithms	先把报错和上下文看全。	先把报错和上下文看全	300	1.000000	false
suffix_algorithms_c2eaa3f052fc	Algorithms	卡住就把输入输出列出来。	卡住就把输入输出列出来	300	1.000000	false
suffix_algorithms_c697d0eb8779	Algorithms	日志比你脑补靠谱。	日志比你脑补靠谱	300	1.000000	false
suffix_algorithms_c6ff391ceade	Algorithms	最小复现跑通再说。	最小复现跑通再说	300	1.000000	false
suffix_algorithms_d69dcda65e56	Algorithms	先保证正确，再谈优雅。	先保证正确再谈优雅	300	1.000000	false
suffix_algorithms_f3e5d7d1ddd6	Algorithms	别让一个问题带出三个新问题。	别让一个问题带出三个新问题	300	1.000000	false
suffix_algorithms_f522a07902b6	Algorithms	别一上来就重写。	别一上来就重写	300	1.000000	false
suffix_algorithms_fae1a6cc85c4	Algorithms	你慢慢来，我又不催你。	你慢慢来我又不催你	300	1.000000	false
suffix_architecture_2b082faeb022	Architecture	日志比你脑补靠谱。	日志比你脑补靠谱	300	1.000000	false
suffix_architecture_2d64c7d03f52	Architecture	先保证正确，再谈优雅。	先保证正确再谈优雅	300	1.000000	false
suffix_architecture_2d6f29f65a91	Architecture	拆小一点就没那么吓人。	拆小一点就没那么吓人	300	1.000000	false
suffix_architecture_32b59592b3ed	Architecture	别让一个问题带出三个新问题。	别让一个问题带出三个新问题	300	1.000000	false
suffix_architecture_3d6264ea6cf7	Architecture	搞定这次顺便把原因记下来。	搞定这次顺便把原因记下来	300	1.000000	false
suffix_architecture_697f1814e0c0	Architecture	修好了记得提交，别又忘。	修好了记得提交别又忘	300	1.000000	false
suffix_architecture_77ef0c1e9429	Architecture	你慢慢来，我又不催你。	你慢慢来我又不催你	300	1.000000	false
suffix_architecture_9896bf0eed6b	Architecture	先确认事实再动代码。	先确认事实再动代码	300	1.000000	false
suffix_architecture_a07187d0f09a	Architecture	写个测试把它钉住。	写个测试把它钉住	300	1.000000	false
suffix_architecture_ab0e61d95114	Architecture	最小复现跑通再说。	最小复现跑通再说	300	1.000000	false
suffix_architecture_c51ed6e3316c	Architecture	别一上来就重写。	别一上来就重写	300	1.000000	false
