id	category	text	normalized_text	source_count	extraction_confidence	standalone
egg_standalone_00e120ec8ff3	EasterEgg	生产环境不接受一句在我电脑上是好的。	生产环境不接受一句在我电脑上是好的	1	0.000000	true
egg_standalone_012a317f88a8	EasterEgg	小玥从广东的晚风里捎来一点凉快。	小玥从广东的晚风里捎来一点凉快	1	0.000000	true
egg_standalone_02237a3f37d5	EasterEgg	这条彩蛋没有任务，只是来陪你停半分钟。	这条彩蛋没有任务只是来陪你停半分钟	1	0.000000	true
egg_standalone_02d6dab43ae8	EasterEgg	死锁现场请按顺序放下执念和互斥量。	死锁现场请按顺序放下执念和互斥量	1	0.000000	true
egg_standalone_04c9a271d2cf	EasterEgg	生活没给豪华配置，也能把基础版本维护好。	生活没给豪华配置也能把基础版本维护好	1	0.000000	true
egg_standalone_0519e29793e5	EasterEgg	原来你翻到这一页了，雷琳玥在这里留了个小记号。	原来你翻到这一页了雷琳玥在这里留了个小记号	1	0.000000	true
egg_standalone_07104037a821	EasterEgg	窗口晃了一下，大概是玥玥在调整坐姿。	窗口晃了一下大概是玥玥在调整坐姿	1	0.000000	true
egg_standalone_08a2cd362916	EasterEgg	merge 前先看差异，别拿勇气代替判断。	merge前先看差异别拿勇气代替判断	1	0.000000	true
egg_standalone_08ae68d3da01	EasterEgg	418 我是茶壶，咖啡请求先去隔壁队列。	418我是茶壶咖啡请求先去隔壁队列	1	0.000000	true
egg_standalone_092daad64211	EasterEgg	把喜欢的搭配记下来，下次出门就不用现场编译。	把喜欢的搭配记下来下次出门就不用现场编译	1	0.000000	true
egg_standalone_0a1bc6346f4f	EasterEgg	预算允许再买，喜欢和克制可以同时存在。	预算允许再买喜欢和克制可以同时存在	1	0.000000	true
egg_standalone_0ac4c318beca	EasterEgg	打工的工牌会换，认真生活的那个人没换。	打工的工牌会换认真生活的那个人没换	1	0.000000	true
egg_standalone_0aef54536680	EasterEgg	早上七点的窗口，适合放一句慢慢启动。	早上七点的窗口适合放一句慢慢启动	1	0.000000	true
egg_standalone_0bbf57c78364	EasterEgg	卡住先离开五分钟，大脑可能会在后台继续跑。	卡住先离开五分钟大脑可能会在后台继续跑	1	0.000000	true
egg_standalone_0c441ff4985b	EasterEgg	小进步不需要发布会，自己知道也有意义。	小进步不需要发布会自己知道也有意义	1	0.000000	true
egg_standalone_0caeaa8138a0	EasterEgg	小玥不太会夸张地加油，就说一句继续吧。	小玥不太会夸张地加油就说一句继续吧	1	0.000000	true
egg_standalone_0dad90da48d7	EasterEgg	公交末班车的灯，常常比大道理更让人安心。	公交末班车的灯常常比大道理更让人安心	1	0.000000	true
egg_standalone_0ebe87f97679	EasterEgg	这回玥玥不说漂亮话，只说你先吃饭。	这回玥玥不说漂亮话只说你先吃饭	1	0.000000	true
egg_standalone_0f2eb9b11c23	EasterEgg	没有人能一直高性能，降频保护很合理。	没有人能一直高性能降频保护很合理	1	0.000000	true
egg_standalone_0f5a873710fe	EasterEgg	今天没发挥好，也不影响之前那些认真。	今天没发挥好也不影响之前那些认真	1	0.000000	true
egg_standalone_0fc870867808	EasterEgg	深蓝色很稳，奶白色很软，选颜色真的会纠结。	深蓝色很稳奶白色很软选颜色真的会纠结	1	0.000000	true
egg_standalone_10b45ba96be3	EasterEgg	今天笑不出来也不用勉强，普通地过完就好。	今天笑不出来也不用勉强普通地过完就好	1	0.000000	true
egg_standalone_10fd164ccaa1	EasterEgg	喜欢蕾丝也喜欢干净代码，完全不冲突。	喜欢蕾丝也喜欢干净代码完全不冲突	1	0.000000	true
egg_standalone_110debd3f322	EasterEgg	雷琳玥把一句加油藏在这里，没有大声讲。	雷琳玥把一句加油藏在这里没有大声讲	1	0.000000	true
egg_standalone_116768d4d858	EasterEgg	二分查找前先确认答案真的有单调性。	二分查找前先确认答案真的有单调性	1	0.000000	true
