review_id	source_line	category	original_text	risk_type	risk_description	suggested_action	suggested_rewrite	default_enabled
review_48556_198b167ee3b3	48556	Study	你又不是学不会，数据结构别光背定义要自己画一遍，每天推进一点就够了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48557_5b780d8762c4	48557	Study	你又不是学不会，数据结构别光背定义要自己画一遍，不会就查，没什么丢人的。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48558_85c0a5bed27b	48558	Study	你又不是学不会，数据结构别光背定义要自己画一遍，把它讲给我听一遍试试。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48559_1ff97e293ac1	48559	Study	你又不是学不会，数据结构别光背定义要自己画一遍，今天能弄懂一个点就算赚。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48560_768d93d708b8	48560	Study	你又不是学不会，数据结构别光背定义要自己画一遍，先做十分钟，状态自然会来。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48561_be972ee45989	48561	Study	你又不是学不会，数据结构别光背定义要自己画一遍，记笔记别只复制，写你自己的话。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48562_f8751fe0183f	48562	Study	你又不是学不会，数据结构别光背定义要自己画一遍，等你搞定了我给你说个 6。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48563_f7b9b448e144	48563	Study	你又不是学不会，数据结构别光背定义要自己画一遍，实在累了就歇会儿再继续。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48564_568f6987844c	48564	Study	你又不是学不会，数据结构别光背定义要自己画一遍，别跟别人比进度，烦不烦。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48565_02bc88bde70b	48565	Study	你又不是学不会，数据结构别光背定义要自己画一遍，我在这儿呢，你慢慢啃。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48566_3cdd7ca1fa21	48566	Study	你又不是学不会，数据结构别光背定义要自己画一遍，先做完最小的一步再加码。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48567_06a1c6e1d7a9	48567	Study	你又不是学不会，数据结构别光背定义要自己画一遍，能复述出来就已经赢一半了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48568_213c5ed8b299	48568	Study	你又不是学不会，数据结构别光背定义要自己画一遍，学会了记得拿来跟我显摆一下。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48569_da87c4604d02	48569	Study	你又不是学不会，操作系统这章先抓住进程内存和文件，每天推进一点就够了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48570_85e5a285c811	48570	Study	你又不是学不会，操作系统这章先抓住进程内存和文件，不会就查，没什么丢人的。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48571_ff97904f20cb	48571	Study	你又不是学不会，操作系统这章先抓住进程内存和文件，把它讲给我听一遍试试。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48572_cef457ce78a5	48572	Study	你又不是学不会，操作系统这章先抓住进程内存和文件，今天能弄懂一个点就算赚。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48573_338e3ef8efce	48573	Study	你又不是学不会，操作系统这章先抓住进程内存和文件，先做十分钟，状态自然会来。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48574_bf1905df9a26	48574	Study	你又不是学不会，操作系统这章先抓住进程内存和文件，记笔记别只复制，写你自己的话。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48575_ad2913ab7101	48575	Study	你又不是学不会，操作系统这章先抓住进程内存和文件，等你搞定了我给你说个 6。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48576_95c014c5a3a5	48576	Study	你又不是学不会，操作系统这章先抓住进程内存和文件，实在累了就歇会儿再继续。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48577_7ba4b3a1ef97	48577	Study	你又不是学不会，操作系统这章先抓住进程内存和文件，别跟别人比进度，烦不烦。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48578_a642e9bc7eaa	48578	Study	你又不是学不会，操作系统这章先抓住进程内存和文件，我在这儿呢，你慢慢啃。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48579_5ac01dfaa5f7	48579	Study	你又不是学不会，操作系统这章先抓住进程内存和文件，先做完最小的一步再加码。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48580_d4c01c9eead0	48580	Study	你又不是学不会，操作系统这章先抓住进程内存和文件，能复述出来就已经赢一半了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48581_cbee871597af	48581	Study	你又不是学不会，操作系统这章先抓住进程内存和文件，学会了记得拿来跟我显摆一下。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48582_971c6beb41af	48582	Study	你又不是学不会，计算机网络从一次请求怎么走开始串，每天推进一点就够了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48583_e0bc812f2ce4	48583	Study	你又不是学不会，计算机网络从一次请求怎么走开始串，不会就查，没什么丢人的。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48584_7c6433615e88	48584	Study	你又不是学不会，计算机网络从一次请求怎么走开始串，把它讲给我听一遍试试。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48585_f5dcc322140e	48585	Study	你又不是学不会，计算机网络从一次请求怎么走开始串，今天能弄懂一个点就算赚。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48586_d8a21033287d	48586	Study	你又不是学不会，计算机网络从一次请求怎么走开始串，先做十分钟，状态自然会来。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48587_b84a00098689	48587	Study	你又不是学不会，计算机网络从一次请求怎么走开始串，记笔记别只复制，写你自己的话。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48588_19ea303cb2d4	48588	Study	你又不是学不会，计算机网络从一次请求怎么走开始串，等你搞定了我给你说个 6。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48589_27dde284b66e	48589	Study	你又不是学不会，计算机网络从一次请求怎么走开始串，实在累了就歇会儿再继续。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48590_e65d8b471c7e	48590	Study	你又不是学不会，计算机网络从一次请求怎么走开始串，别跟别人比进度，烦不烦。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48591_95f8a7b78efe	48591	Study	你又不是学不会，计算机网络从一次请求怎么走开始串，我在这儿呢，你慢慢啃。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48592_ecbc0d311a14	48592	Study	你又不是学不会，计算机网络从一次请求怎么走开始串，先做完最小的一步再加码。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48593_ccc06acd3db6	48593	Study	你又不是学不会，计算机网络从一次请求怎么走开始串，能复述出来就已经赢一半了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48594_879cc2ddb6d3	48594	Study	你又不是学不会，计算机网络从一次请求怎么走开始串，学会了记得拿来跟我显摆一下。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48595_fddf4db190f8	48595	Study	你又不是学不会，数据库范式懂思想就别死抠术语，每天推进一点就够了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48596_509a11e24cca	48596	Study	你又不是学不会，数据库范式懂思想就别死抠术语，不会就查，没什么丢人的。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48597_935969e02451	48597	Study	你又不是学不会，数据库范式懂思想就别死抠术语，把它讲给我听一遍试试。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48598_b21490cb6c52	48598	Study	你又不是学不会，数据库范式懂思想就别死抠术语，今天能弄懂一个点就算赚。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48599_9087a4fd1b2e	48599	Study	你又不是学不会，数据库范式懂思想就别死抠术语，先做十分钟，状态自然会来。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48600_d6cb29cbe115	48600	Study	你又不是学不会，数据库范式懂思想就别死抠术语，记笔记别只复制，写你自己的话。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48601_8910bc086ae1	48601	Study	你又不是学不会，数据库范式懂思想就别死抠术语，等你搞定了我给你说个 6。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48602_0f37df4e6098	48602	Study	你又不是学不会，数据库范式懂思想就别死抠术语，实在累了就歇会儿再继续。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48603_6338a4790a28	48603	Study	你又不是学不会，数据库范式懂思想就别死抠术语，别跟别人比进度，烦不烦。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48604_6e4c046487aa	48604	Study	你又不是学不会，数据库范式懂思想就别死抠术语，我在这儿呢，你慢慢啃。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48605_b180698c09ce	48605	Study	你又不是学不会，数据库范式懂思想就别死抠术语，先做完最小的一步再加码。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48606_3fd65581a28d	48606	Study	你又不是学不会，数据库范式懂思想就别死抠术语，能复述出来就已经赢一半了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48607_a1d9cbf6e0d8	48607	Study	你又不是学不会，数据库范式懂思想就别死抠术语，学会了记得拿来跟我显摆一下。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48608_451614424ec5	48608	Study	你又不是学不会，离散数学看不顺先拿小例子代进去，每天推进一点就够了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48609_25f2f7bf4e13	48609	Study	你又不是学不会，离散数学看不顺先拿小例子代进去，不会就查，没什么丢人的。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48610_da0a09f847ed	48610	Study	你又不是学不会，离散数学看不顺先拿小例子代进去，把它讲给我听一遍试试。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
