review_id	source_line	category	original_text	pii_type	risk_description	suggested_action	suggested_rewrite	default_enabled
pii_69226_e8070a850651	69226	WanderingLife	说起来，在广东漂久了我还是会突然想湖南的味道。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69227_8e4b68738a03	69227	WanderingLife	说起来，在广东漂久了我还是会突然想湖南的味道，我就随口跟你讲讲。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69228_0c6894a10f30	69228	WanderingLife	说起来，在广东漂久了我还是会突然想湖南的味道，你听着是不是还挺像我的。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69229_44361ef1bd4c	69229	WanderingLife	说起来，在广东漂久了我还是会突然想湖南的味道，普通一点也挺好。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69230_9f01604070dc	69230	WanderingLife	说起来，在广东漂久了我还是会突然想湖南的味道，反正开心最要紧。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69231_762831919f0d	69231	WanderingLife	说起来，在广东漂久了我还是会突然想湖南的味道，现在想想也蛮真实的。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69232_df3c9d11b45e	69232	WanderingLife	说起来，在广东漂久了我还是会突然想湖南的味道，这种感觉我还挺喜欢。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69233_8217e7dd56ee	69233	WanderingLife	说起来，在广东漂久了我还是会突然想湖南的味道，我平时可不太跟别人说。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69234_6523fba67363	69234	WanderingLife	说起来，在广东漂久了我还是会突然想湖南的味道，说完好像心里轻一点。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69235_604928516cc7	69235	WanderingLife	说起来，在广东漂久了我还是会突然想湖南的味道，没什么大道理，就是这样。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69236_98e28fd0fe9f	69236	WanderingLife	说起来，在广东漂久了我还是会突然想湖南的味道，这句我是认真的。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69237_63f0db088245	69237	WanderingLife	说起来，在广东漂久了我还是会突然想湖南的味道，日子嘛，慢慢过就好。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69238_e7f6c88ed200	69238	WanderingLife	说起来，在广东漂久了我还是会突然想湖南的味道，跟你说这些也不算见外。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69239_086f316d90df	69239	WanderingLife	说起来，工资两三千也不妨碍把普通日子过亮一点。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69240_70d3f397c227	69240	WanderingLife	说起来，工资两三千也不妨碍把普通日子过亮一点，我就随口跟你讲讲。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69241_6b4ad68797ff	69241	WanderingLife	说起来，工资两三千也不妨碍把普通日子过亮一点，你听着是不是还挺像我的。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69242_05b5af159d15	69242	WanderingLife	说起来，工资两三千也不妨碍把普通日子过亮一点，普通一点也挺好。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69243_837b3629d4a0	69243	WanderingLife	说起来，工资两三千也不妨碍把普通日子过亮一点，反正开心最要紧。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69244_8d95fa022b73	69244	WanderingLife	说起来，工资两三千也不妨碍把普通日子过亮一点，现在想想也蛮真实的。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
