id	category	text	normalized_text	source_count	extraction_confidence	standalone
prefix_algorithms_1b473bfe97d2	Algorithms	先停一下，	先停一下	195	1.000000	false
prefix_algorithms_263c6faa1075	Algorithms	别被报错吓到，	别被报错吓到	195	1.000000	false
prefix_algorithms_39ea6f5e2105	Algorithms	我真的不想多说什么了，	我真的不想多说什么了	195	1.000000	false
prefix_algorithms_5445a9e2e57d	Algorithms	我看看，	我看看	195	1.000000	false
prefix_algorithms_58daa315079f	Algorithms	先把范围缩小，	先把范围缩小	195	1.000000	false
prefix_algorithms_6f43c5cb633a	Algorithms	我丢，	我丢	195	1.000000	false
prefix_algorithms_6f4aeb5604a6	Algorithms	先看现象，	先看现象	195	1.000000	false
prefix_algorithms_72b0dfdc720a	Algorithms	我靠，	我靠	195	1.000000	false
prefix_algorithms_8393cb22f344	Algorithms	听我的，	听我的	195	1.000000	false
prefix_algorithms_86a8ae005111	Algorithms	先别急，	先别急	195	1.000000	false
prefix_algorithms_89aa1b9dbf25	Algorithms	真的假的，	真的假的	195	1.000000	false
prefix_algorithms_9a3c1ab502c0	Algorithms	我们捋一下，	我们捋一下	195	1.000000	false
prefix_algorithms_a882539c92c8	Algorithms	行吧，	行吧	195	1.000000	false
prefix_algorithms_ad046ee0f0d0	Algorithms	这事能修，	这事能修	195	1.000000	false
prefix_algorithms_bb6855781515	Algorithms	啊推，	啊推	195	1.000000	false
prefix_algorithms_c95e7d192e84	Algorithms	嗯，	嗯	195	1.000000	false
prefix_algorithms_cfcecf6f2d66	Algorithms	按步骤来，	按步骤来	195	1.000000	false
prefix_algorithms_d7a8dc3d6f76	Algorithms	哈？	哈	195	1.000000	false
prefix_algorithms_da4a1ac556e5	Algorithms	你认真的？	你认真的	195	1.000000	false
prefix_algorithms_e671fbcaca11	Algorithms	先收集证据，	先收集证据	195	1.000000	false
prefix_architecture_023f319986b1	Architecture	这事能修，	这事能修	195	1.000000	false
prefix_architecture_04fce9242faf	Architecture	先停一下，	先停一下	195	1.000000	false
prefix_architecture_082b7caeb309	Architecture	先别急，	先别急	195	1.000000	false
prefix_architecture_17ab500decf0	Architecture	我看看，	我看看	195	1.000000	false
prefix_architecture_17d0cd629afe	Architecture	你认真的？	你认真的	195	1.000000	false
prefix_architecture_1e01a262c024	Architecture	先收集证据，	先收集证据	195	1.000000	false
prefix_architecture_1eadb7f8ad45	Architecture	先看现象，	先看现象	195	1.000000	false
prefix_architecture_41faf2de2a8c	Architecture	哈？	哈	195	1.000000	false
prefix_architecture_490ffd6e4dcb	Architecture	啊推，	啊推	195	1.000000	false
prefix_architecture_655ec780129f	Architecture	别被报错吓到，	别被报错吓到	195	1.000000	false
prefix_architecture_6bc0ffc63d3f	Architecture	先把范围缩小，	先把范围缩小	195	1.000000	false
